source,record_id,title,year,venue,doi,cited_by_count,query_seed,relevance_note
Crossref,https://doi.org/10.1109/cira.1997.613851,A frontier-based approach for autonomous exploration,,Proceedings 1997 IEEE International Symposium on Computational Intelligence in Robotics and Automation CIRA'97. 'Towards New Computational Principles for Robotics and Automation',10.1109/cira.1997.613851,1106,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.32657/10356/90191,Continuous control for robot based on deep reinforcement learning,,,10.32657/10356/90191,969,robot exploration without reinforcement learning safety,safe;exploration;robot;control
Crossref,https://doi.org/10.1146/annurev-control-090419-075625,Learning-Based Model Predictive Control: Toward Safe Learning in Control,2020,"Annual Review of Control, Robotics, and Autonomous Systems",10.1146/annurev-control-090419-075625,701,safe model based exploration robotics,safe;exploration;robot;control
Crossref,https://doi.org/10.1146/annurev-control-042920-020211,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,"Annual Review of Control, Robotics, and Autonomous Systems",10.1146/annurev-control-042920-020211,613,safe model based exploration robotics,safe;exploration;robot;control
Crossref,https://doi.org/10.1109/iros.2008.4650764,Collision Detection and Reaction: A Contribution to Safe Physical Human-Robot Interaction,2008,2008 IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.2008.4650764,404,safe physical interaction robot exploration,safe;exploration;robot
Crossref,https://doi.org/10.1145/1957656.1957786,Human-robot proxemics,2011,Proceedings of the 6th international conference on Human-robot interaction,10.1145/1957656.1957786,363,safe physical interaction robot exploration,safe;exploration;robot
Crossref,https://doi.org/10.1109/lra.2019.2891991,Deep Reinforcement Learning Robot for Search and Rescue Applications: Exploration in Unknown Cluttered Environments,2019,IEEE Robotics and Automation Letters,10.1109/lra.2019.2891991,346,robot exploration without reinforcement learning safety,safe;exploration;robot
Crossref,https://doi.org/10.15607/rss.2005.i.009,Information Gain-based Exploration Using Rao-Blackwellized Particle Filters,2005,Robotics: Science and Systems I,10.15607/rss.2005.i.009,329,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1109/robot.2005.1570172,Design and Control of a Variable Stiffness Actuator for Safe and Fast Physical Human/Robot Interaction,,Proceedings of the 2005 IEEE International Conference on Robotics and Automation,10.1109/robot.2005.1570172,324,safe physical interaction robot exploration,safe;exploration;robot;control
Crossref,https://doi.org/10.1109/56.800,An exploration of sensorless manipulation,1988,IEEE Journal on Robotics and Automation,10.1109/56.800,296,robot manipulation force limit exploration,exploration;robot;manipulation
Crossref,https://doi.org/10.1002/rob.20187,Terramechanics‐based model for steering maneuver of planetary exploration rovers on loose soil,2007,Journal of Field Robotics,10.1002/rob.20187,281,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1109/lcsys.2017.2710943,Nonsmooth Barrier Functions With Applications to Multi-Robot Systems,2017,IEEE Control Systems Letters,10.1109/lcsys.2017.2710943,277,control barrier functions robot contact manipulation,contact;robot;barrier;control;manipulation
Crossref,https://doi.org/10.1109/mra.2012.2205617,Agile Load Transportation : Safe and Efficient Load Manipulation with Aerial Robots,2012,IEEE Robotics &amp; Automation Magazine,10.1109/mra.2012.2205617,256,contact safe exploration robot manipulation,safe;contact;exploration;robot;manipulation
Crossref,https://doi.org/10.15607/rss.2017.xiii.073,Discrete Control Barrier Functions for Safety-Critical Control of Discrete Systems with Application to Bipedal Robot Navigation,2017,Robotics: Science and Systems XIII,10.15607/rss.2017.xiii.073,252,control barrier functions robot contact manipulation,safe;contact;robot;barrier;control
Crossref,https://doi.org/10.1108/01439910510573318,Tactile sensing in intelligent robotic manipulation – a review,2005,Industrial Robot: An International Journal,10.1108/01439910510573318,235,tactile exploration safe robot manipulation,safe;exploration;robot;tactile;manipulation
Crossref,https://doi.org/10.1109/cdc.2018.8619572,Learning-Based Model Predictive Control for Safe Exploration,2018,2018 IEEE Conference on Decision and Control (CDC),10.1109/cdc.2018.8619572,225,safe model based exploration robotics,safe;exploration;robot;control
Crossref,https://doi.org/10.1109/tac.2015.2444131,Distributed Coordination Control for Multi-Robot Networks Using Lyapunov-Like Barrier Functions,2016,IEEE Transactions on Automatic Control,10.1109/tac.2015.2444131,224,control barrier functions robot contact manipulation,contact;robot;barrier;control;manipulation
Crossref,https://doi.org/10.1177/02783640022066770,Sensor-Based Exploration: The Hierarchical Generalized Voronoi Graph,2000,The International Journal of Robotics Research,10.1177/02783640022066770,213,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1109/lra.2018.2792536,Per-Contact Iteration Method for Solving Contact Dynamics,2018,IEEE Robotics and Automation Letters,10.1109/lra.2018.2792536,211,contact dynamics learning safety robot manipulation,safe;contact;robot;manipulation
Crossref,https://doi.org/10.1109/icra.2015.7138994,Learning contact-rich manipulation skills with guided policy search,2015,2015 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2015.7138994,183,contact rich manipulation safety verification,safe;contact;manipulation
Crossref,https://doi.org/10.1109/lra.2021.3133591,Goal-Driven Autonomous Exploration Through Deep Reinforcement Learning,2022,IEEE Robotics and Automation Letters,10.1109/lra.2021.3133591,166,robot exploration without reinforcement learning safety,safe;exploration;robot
Crossref,https://doi.org/10.1109/toh.2013.54,Learning Compliant Manipulation through Kinesthetic and Tactile Human-Robot Interaction,2014,IEEE Transactions on Haptics,10.1109/toh.2013.54,140,tactile exploration safe robot manipulation,safe;exploration;robot;tactile;manipulation
Crossref,https://doi.org/10.1109/tra.2003.817526,A miniature microsurgical instrument tip force sensor for enhanced force feedback during robot-assisted manipulation,2003,IEEE Transactions on Robotics and Automation,10.1109/tra.2003.817526,140,robot manipulation force limit exploration,exploration;robot;manipulation
Crossref,https://doi.org/10.1109/lra.2020.3010739,Learning Force Control for Contact-Rich Manipulation Tasks With Rigid Position-Controlled Robots,2020,IEEE Robotics and Automation Letters,10.1109/lra.2020.3010739,139,contact dynamics learning safety robot manipulation,safe;contact;robot;control;manipulation
Crossref,https://doi.org/10.1016/j.robot.2022.104224,A survey of robot manipulation in contact,2022,Robotics and Autonomous Systems,10.1016/j.robot.2022.104224,138,contact dynamics learning safety robot manipulation,safe;contact;robot;manipulation
Crossref,https://doi.org/10.1016/j.rcim.2022.102517,A review on reinforcement learning for contact-rich robotic manipulation tasks,2023,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2022.102517,137,contact rich manipulation safety verification,safe;contact;robot;manipulation
Crossref,https://doi.org/10.1145/3025453.3025744,Fingertip Tactile Devices for Virtual Object Manipulation and Exploration,2017,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,10.1145/3025453.3025744,136,tactile exploration safe robot manipulation,safe;exploration;robot;tactile;manipulation
Crossref,https://doi.org/10.1109/iros.2016.7759067,Constrained robot control using control barrier functions,2016,2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros.2016.7759067,121,control barrier functions robot contact manipulation,contact;robot;barrier;control;manipulation
Crossref,https://doi.org/10.1109/icra.2019.8793611,Safe Reinforcement Learning With Model Uncertainty Estimates,2019,2019 International Conference on Robotics and Automation (ICRA),10.1109/icra.2019.8793611,119,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1007/s11370-012-0128-9,A robot learning from demonstration framework to perform force-based manipulation tasks,2013,Intelligent Service Robotics,10.1007/s11370-012-0128-9,116,robot manipulation force limit exploration,exploration;robot;manipulation
Crossref,https://doi.org/10.1186/s40638-016-0055-x,Mobile robots exploration through cnn-based reinforcement learning,2016,Robotics and Biomimetics,10.1186/s40638-016-0055-x,112,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1007/s12206-007-1109-3,"Safe physical human robot interaction-past, present and future",2008,Journal of Mechanical Science and Technology,10.1007/s12206-007-1109-3,112,safe physical interaction robot exploration,safe;exploration;robot
Crossref,https://doi.org/10.1109/humanoids.2015.7363524,Learning robot in-hand manipulation with tactile features,2015,2015 IEEE-RAS 15th International Conference on Humanoid Robots (Humanoids),10.1109/humanoids.2015.7363524,111,tactile exploration safe robot manipulation,safe;exploration;robot;tactile;manipulation
Crossref,https://doi.org/10.1109/tro.2023.3249564,BarrierNet: Differentiable Control Barrier Functions for Learning of Safe Robot Control,2023,IEEE Transactions on Robotics,10.1109/tro.2023.3249564,102,safe active learning robot control constraints,safe;robot;barrier;constraint;control
Crossref,https://doi.org/10.1109/robosoft.2019.8722713,Soft-bubble: A highly compliant dense geometry tactile sensor for robot manipulation,2019,2019 2nd IEEE International Conference on Soft Robotics (RoboSoft),10.1109/robosoft.2019.8722713,101,tactile exploration safe robot manipulation,safe;exploration;robot;tactile;manipulation
Crossref,https://doi.org/10.1109/iros.2010.5648931,Learning-based control strategy for safe human-robot interaction exploiting task and robot redundancies,2010,2010 IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.2010.5648931,99,safe physical interaction robot exploration,safe;exploration;robot;control
Crossref,https://doi.org/10.1109/tro.2015.2459412,Internal Force Analysis and Load Distribution for Cooperative Multi-Robot Manipulation,2015,IEEE Transactions on Robotics,10.1109/tro.2015.2459412,98,robot manipulation force limit exploration,exploration;robot;manipulation
Crossref,https://doi.org/10.1109/tro.2011.2134130,Tactile Sensing for Mobile Manipulation,2011,IEEE Transactions on Robotics,10.1109/tro.2011.2134130,98,tactile exploration safe robot manipulation,safe;exploration;robot;tactile;manipulation
Crossref,https://doi.org/10.1109/robot.1990.126016,The use of kinematic redundancy in reducing impact and contact effects in manipulation,,"Proceedings., IEEE International Conference on Robotics and Automation",10.1109/robot.1990.126016,98,safe exploration robotics contact rich manipulation,safe;contact;exploration;robot;manipulation
Crossref,https://doi.org/10.1016/j.rcim.2018.11.004,Human intention estimation based on hidden Markov model motion validation for safe flexible robotized warehouses,2019,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2018.11.004,97,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1109/icra.2016.7487163,Kinematic multi-robot manipulation with no communication using force feedback,2016,2016 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2016.7487163,96,robot manipulation force limit exploration,exploration;robot;manipulation
Crossref,https://doi.org/10.1109/lra.2018.2800109,Safe Local Exploration for Replanning in Cluttered Unknown Environments for Microaerial Vehicles,2018,IEEE Robotics and Automation Letters,10.1109/lra.2018.2800109,94,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1109/tra.2003.820868,Stiffness and Contact Mechanics for Soft Fingers in Grasping and Manipulation,2004,IEEE Transactions on Robotics and Automation,10.1109/tra.2003.820868,93,contact dynamics learning safety robot manipulation,safe;contact;robot;manipulation
Crossref,https://doi.org/10.1080/01691864.2013.763720,A frontier-void-based approach for autonomous exploration in 3D,2013,Advanced Robotics,10.1080/01691864.2013.763720,92,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1126/scirobotics.aaw6736,Learning sensorimotor control with neuromorphic sensors: Toward hyperdimensional active perception,2019,Science Robotics,10.1126/scirobotics.aaw6736,90,safe active learning robot control constraints,safe;robot;constraint;control
Crossref,https://doi.org/10.1016/s0921-8890(01)00166-x,Towards vision-based safe landing for an autonomous helicopter,2002,Robotics and Autonomous Systems,10.1016/s0921-8890(01)00166-x,90,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1109/tro.2018.2791591,Comparative Peg-in-Hole Testing of a Force-Based Manipulation Controlled Robotic Hand,2018,IEEE Transactions on Robotics,10.1109/tro.2018.2791591,88,robot manipulation force limit exploration,exploration;robot;control;manipulation
Crossref,https://doi.org/10.1109/tro.2006.870649,Dynamics and balance of a humanoid robot during manipulation tasks,2006,IEEE Transactions on Robotics,10.1109/tro.2006.870649,88,contact dynamics learning safety robot manipulation,safe;contact;robot;manipulation
Crossref,https://doi.org/10.1109/iros45743.2020.9341006,SwingBot: Learning Physical Features from In-hand Tactile Exploration for Dynamic Swing-up Manipulation,2020,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros45743.2020.9341006,86,tactile exploration safe robot manipulation,safe;exploration;robot;tactile;manipulation
Crossref,https://doi.org/10.1016/j.automatica.2022.110684,Safe exploration in model-based reinforcement learning using control barrier functions,2023,Automatica,10.1016/j.automatica.2022.110684,85,safe model based exploration robotics,safe;exploration;robot;barrier;control
